Active Growth Period,After Harvest Regrowth Rate,Bloat,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Id,C:N Ratio,"Height at 20 Years, Maximum (feet)"
Spring,,None,No,No,Yes,Yellow,No,Dark Green,Moderate,Porous,Fine,Brown,No,Rhizomatous,Moderate,1.6,No,No,Short,No,None,No,Erect,None,19007,High,
"Spring, Summer, Fall",,None,No,No,No,Green,No,,Porous,Porous,,Brown,No,Bunch,Moderate,4.0,No,No,Moderate,No,None,No,Erect,None,19059,High,
Spring and Summer,Slow,None,No,No,No,Yellow,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,4.5,No,No,Moderate,No,None,No,Erect,None,22557,Medium,
Spring,Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,2.8,No,No,Short,No,None,No,Erect,None,22656,Medium,
Spring,Slow,None,No,No,No,Red,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,3.3,No,No,Moderate,No,None,No,Erect,None,85932,,
Spring,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Coarse,Green,No,Rhizomatous,Rapid,0.9,No,No,Short,No,None,No,Erect,Moderate,12212,,
,,,,,,,,,,,,,,,,,,,,,,,,,12228,,
,,,,,,,,,,,,,,,,,,,,,,,,,60308,,
,,,,,,,,,,,,,,,,,,,,,,,,,28499,,
,,,,,,,,,,,,,,,,,,,,,,,,,22734,,
Spring and Summer,Slow,None,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Stoloniferous,Moderate,2.8,No,No,Short,No,None,No,Semi-Erect,None,35138,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,35163,,
Spring,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,Yes,Rhizomatous,Moderate,0.9,No,No,Moderate,No,None,No,Erect,None,22864,,
,,,,,,,,,,,,,,,,,,,,,,,,,74019,,
Spring and Summer,,None,No,Yes,Yes,Green,No,Dark Green,Porous,Porous,Fine,Yellow,Yes,Multiple Stem,Moderate,6.0,No,No,Moderate,No,None,Yes,Erect,None,75018,Medium,8
Spring and Summer,,Low,No,No,No,Purple,No,Dark Green,Moderate,Porous,Coarse,Red,No,Multiple Stem,Slow,10.0,No,No,Short,No,None,No,Erect,Moderate,75020,High,25
,,,,,,,,,,,,,,,,,,,,,,,,,35577,,
,,,,,,,,,,,,,,,,,,,,,,,,,76059,,
,,,,,,,,,,,,,,,,,,,,,,,,,35469,,
Summer,Slow,None,No,No,No,Purple,Yes,Dark Green,Porous,Porous,Coarse,Black,No,Rhizomatous,Rapid,6.0,No,No,Moderate,No,None,No,Erect,None,35639,High,
,,,,,,,,,,,,,,,,,,,,,,,,,35594,,
,,,,,,,,,,,,,,,,,,,,,,,,,35396,,
"Spring, Summer, Fall",Slow,None,No,Yes,No,Purple,Yes,Dark Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Moderate,4.6,No,No,Long,No,None,No,Erect,None,35511,High,
,,,,,,,,,,,,,,,,,,,,,,,,,35415,,
,,,,,,,,,,,,,,,,,,,,,,,,,35659,,
,,,,,,,,,,,,,,,,,,,,,,,,,35438,,
Spring and Summer,,None,No,Yes,No,Yellow,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Slow,80.0,No,No,Long,No,None,Yes,Erect,None,70143,High,30
Spring and Fall,Moderate,None,No,No,Yes,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,2.4,No,No,Moderate,Yes,None,No,Semi-Erect,None,23137,Medium,
Spring and Summer,Slow,None,No,No,No,Yellow,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Moderate,3.0,No,No,Moderate,No,None,No,Erect,None,23194,Medium,
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Fine,Brown,Yes,Single Stem,Moderate,90.0,No,No,Moderate,No,None,Yes,Erect,None,49739,High,40
,,None,No,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Black,No,Single Crown,Moderate,20.0,No,No,Short,No,None,No,Erect,,87257,,35
Spring and Summer,,None,No,No,No,White,No,Green,Dense,Porous,Coarse,Brown,No,Single Stem,Slow,65.0,No,No,Moderate,No,None,Yes,Erect,None,49771,Medium,20
Spring and Summer,,None,Yes,Yes,No,Green,Yes,Yellow-Green,Dense,Moderate,Coarse,Brown,No,Single Crown,Rapid,80.0,No,No,Short,No,None,Yes,Irregular,None,49774,High,35
,,,,,,,,,,,,,,,,,,,,,,,,,89751,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Moderate,Medium,Black,No,Multiple Stem,Slow,4.0,No,No,Long,No,None,Yes,Erect,None,65162,High,2
"Spring, Summer, Fall",,None,No,Yes,No,White,Yes,Dark Green,Dense,Dense,Coarse,Red,Yes,Stoloniferous,Slow,0.5,No,No,Long,No,None,Yes,Prostrate,None,65159,High,
"Spring, Summer, Fall",Slow,None,No,Yes,No,Purple,Yes,Green,Porous,Porous,Coarse,Brown,No,Bunch,Rapid,1.5,No,No,Moderate,No,None,No,Erect,None,44077,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,83748,,
,,,,,,,,,,,,,,,,,,,,,,,,,89856,,
Spring,Moderate,None,No,No,No,Green,No,Green,Moderate,Porous,Fine,Black,No,Bunch,Moderate,3.9,No,No,Moderate,No,None,No,Erect,None,23267,,
Spring,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Fine,Red,No,Rhizomatous,Moderate,5.7,No,No,Short,No,None,No,Semi-Erect,None,23276,,
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Green,Yes,Single Stem,Rapid,70.0,No,No,Moderate,No,None,Yes,Rounded,None,79383,Medium,35
Spring and Summer,,None,No,No,No,Yellow,Yes,Green,Dense,Porous,Coarse,Brown,Yes,Multiple Stem,Slow,20.0,No,No,Long,No,None,Yes,Semi-Erect,None,70550,Medium,15
,,,,,,,,,,,,,,,,,,,,,,,,,91943,,
Spring and Summer,Slow,None,No,Yes,No,Yellow,Yes,Dark Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,5.6,No,No,Moderate,No,None,No,Erect,None,36186,,
Spring and Summer,Slow,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Fine,Brown,No,Single Stem,Rapid,4.9,No,No,Moderate,No,None,No,Erect,Severe,36117,,
,,,,,,,,,,,,,,,,,,,,,,,,,36212,,
,,,,,,,,,,,,,,,,,,,,,,,,,36227,,
Spring,Slow,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Multiple Stem,Moderate,3.2,No,No,Short,No,None,No,Erect,None,36143,,
"Spring, Summer, Fall",Slow,None,No,Yes,No,Yellow,Yes,Dark Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Moderate,5.0,No,No,Moderate,No,None,No,Erect,None,36245,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,36349,,
Summer and Fall,Moderate,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Rapid,5.0,No,No,Moderate,No,None,No,Erect,None,36265,Low,
Spring and Summer,Slow,None,No,No,No,White,Yes,Green,Porous,Porous,Coarse,Brown,No,Multiple Stem,Moderate,8.0,No,No,Short,No,None,No,Erect,Slight,74048,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,73126,,
,,,,,,,,,,,,,,,,,,,,,,,,,73127,,
,,,,,,,,,,,,,,,,,,,,,,,,,73132,,
Spring and Summer,Slow,None,No,Yes,No,Yellow,Yes,Yellow-Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,9.8,No,No,Moderate,No,None,No,Erect,None,36339,,
,,,,,,,,,,,,,,,,,,,,,,,,,92054,,
,,,,,,,,,,,,,,,,,,,,,,,,,23350,,
"Spring, Summer, Fall",,None,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,No,Multiple Stem,Moderate,8.0,No,No,Moderate,No,None,No,Erect,None,66037,Medium,
Spring,Slow,None,No,No,No,White,Yes,Gray-Green,Moderate,Porous,Coarse,Brown,No,Multiple Stem,Rapid,6.6,No,No,Moderate,No,None,No,Erect,None,66050,,
"Spring, Summer, Fall",Moderate,None,No,No,No,Yellow,No,Gray-Green,Porous,Porous,Medium,Black,No,Bunch,Moderate,2.0,No,No,Moderate,No,None,No,Semi-Erect,None,23359,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,48282,,
,,,,,,,,,,,,,,,,,,,,,,,,,48300,,
,,,,,,,,,,,,,,,,,,,,,,,,,88398,,
Spring,,None,No,No,No,Yellow,No,Green,Dense,Moderate,Fine,Brown,No,Multiple Stem,Slow,6.6,No,No,Moderate,No,None,Yes,Erect,None,68451,,
Spring,Slow,None,No,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Black,No,Single Crown,Moderate,0.8,No,No,Moderate,No,None,No,Erect,None,28744,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,68486,,
Spring and Summer,,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Crown,Moderate,3.2,No,No,Moderate,No,None,No,Erect,None,68521,High,
Spring and Summer,,None,Yes,No,No,Yellow,No,Dark Green,Dense,Moderate,Medium,Red,Yes,Multiple Stem,Rapid,33.0,No,No,Moderate,No,None,Yes,Erect,Slight,74925,,33
Summer and Fall,,None,No,No,Yes,White,No,Green,Moderate,Porous,Coarse,Black,Yes,Multiple Stem,Slow,8.0,No,Yes,Long,No,None,No,Erect,None,74928,High,5
Spring and Summer,,None,No,Yes,No,Yellow,No,Green,Dense,Dense,Coarse,Red,Yes,Single Stem,Slow,40.0,No,Yes,Moderate,No,None,Yes,Erect,None,74958,High,20
Spring and Summer,,None,No,Yes,No,White,No,Green,Dense,Moderate,Coarse,Red,Yes,Multiple Stem,Moderate,9.0,No,No,Moderate,No,None,Yes,Climbing,None,74975,High,6
Spring and Summer,,None,Yes,Yes,No,White,No,Green,Moderate,Moderate,Coarse,Red,Yes,Multiple Stem,Slow,25.0,No,Yes,Long,No,None,Yes,Erect,None,74982,High,20
Summer,Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Crown,Rapid,4.9,No,No,,No,None,No,Erect,None,83642,,
Summer,Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Crown,Rapid,8.2,No,No,,No,None,No,Erect,None,83653,,
,,,,,,,,,,,,,,,,,,,,,,,,,27431,,
,,,,,,,,,,,,,,,,,,,,,,,,,27615,,
,,,,,,,,,,,,,,,,,,,,,,,,,27619,,
Spring,,None,No,No,No,Blue,Yes,Green,Porous,Porous,Coarse,Black,No,Rhizomatous,Moderate,3.3,No,No,Moderate,No,None,No,Erect,None,27620,,
Spring,,None,No,No,No,White,Yes,Green,Porous,Porous,Medium,Brown,No,Stoloniferous,Slow,10.0,No,No,Short,No,None,No,Erect,None,88116,Medium,10
,,,,,,,,,,,,,,,,,,,,,,,,,72325,,
Spring and Summer,Slow,None,No,No,No,Purple,No,Green,Porous,Porous,Medium,Brown,No,Bunch,Moderate,3.0,No,No,Moderate,No,None,No,Erect,None,26541,High,
Spring,,None,No,No,No,White,Yes,Dark Green,,,Fine,Brown,No,Rhizomatous,Rapid,2.5,No,No,,No,None,No,Erect,None,48923,Medium,
"Spring, Summer, Fall",Slow,None,No,No,No,Green,No,Green,Dense,Porous,Fine,Brown,No,Bunch,Rapid,3.2,No,No,Long,No,None,No,Erect,None,26611,Medium,
Spring and Summer,,None,Yes,Yes,No,Green,No,Green,Moderate,Porous,Coarse,Brown,Yes,Single Stem,Rapid,80.0,Yes,No,Short,No,None,Yes,Erect,Slight,70665,High,20
"Spring, Summer, Fall",Slow,None,No,No,No,Green,No,Red,Dense,Porous,Coarse,Brown,No,Bunch,Moderate,2.9,No,No,Moderate,No,None,No,Erect,None,26634,High,
Spring,Slow,None,No,No,Yes,Brown,No,Dark Green,Moderate,Porous,Coarse,Yellow,No,Bunch,Moderate,6.6,No,No,Long,No,None,No,Erect,None,26651,Medium,
Spring and Summer,Slow,None,No,No,No,Brown,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,2.0,No,No,Long,No,None,No,Erect,None,26724,Medium,
Spring,,None,Yes,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,Yes,Single Stem,Rapid,100.0,Yes,No,Moderate,No,None,Yes,Erect,Slight,70684,High,35
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,Long,No,None,No,Erect,None,26783,Medium,
Spring and Summer,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Bunch,Slow,1.5,No,No,Moderate,No,None,No,Erect,None,26799,Medium,
Spring and Summer,,None,No,No,No,Green,No,Green,Dense,Dense,Medium,White,Yes,Single Stem,Slow,50.0,Yes,No,Moderate,No,None,Yes,Conical,Slight,15261,High,25
Spring and Summer,,None,No,No,No,Purple,Yes,Green,Moderate,Moderate,Coarse,Brown,No,Multiple Stem,Slow,6.0,No,Yes,Long,No,None,Yes,Semi-Erect,None,65203,High,5
Summer,Slow,None,No,No,No,White,No,Green,Moderate,Porous,Medium,Yellow,No,Multiple Stem,Slow,2.6,No,No,Long,No,Medium,No,Erect,None,79847,Medium,
Spring and Summer,,None,No,Yes,Yes,White,Yes,Green,Dense,Dense,Coarse,Brown,Yes,Multiple Stem,Moderate,4.0,No,Yes,Moderate,No,None,Yes,Semi-Erect,None,65252,High,4
Summer,Moderate,None,No,Yes,Yes,White,Yes,Dark Green,Dense,Dense,Medium,Black,Yes,Multiple Stem,Moderate,6.0,No,No,Moderate,No,Medium,No,Erect,None,79866,High,
Summer,,None,No,No,Yes,Green,No,Green,,,Fine,,No,Single Crown,Rapid,,No,No,Short,No,None,No,Decumbent,None,16464,,
Summer,Moderate,None,No,No,No,Green,No,Dark Green,Moderate,Porous,Fine,Red,No,Rhizomatous,Moderate,4.9,No,No,Moderate,No,None,No,Erect,None,23605,,
Spring,Moderate,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Red,No,Rhizomatous,Moderate,3.9,No,No,Short,Yes,None,No,Erect,None,23608,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,Red,No,Multiple Stem,Slow,12.0,No,No,Long,No,None,Yes,Erect,None,71391,Medium,12
,,,,,,,,,,,,,,,,,,,,,,,,,28769,,
Spring and Summer,Moderate,None,No,No,No,Purple,Yes,Yellow-Green,Porous,Porous,Fine,Black,No,Single Stem,Moderate,5.0,No,No,Moderate,No,None,No,Erect,None,37426,Medium,
Summer,Slow,None,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,No,Rhizomatous,Slow,4.5,No,No,Moderate,No,None,No,Erect,None,37462,High,
,,,,,,,,,,,,,,,,,,,,,,,,,37468,,
Spring and Summer,,None,Yes,Yes,No,Green,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,100.0,No,No,Long,No,None,Yes,Erect,None,70557,High,45
,,,,,,,,,,,,,,,,,,,,,,,,,28836,,
Spring and Summer,,None,Yes,Yes,No,Yellow,Yes,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,120.0,No,No,Moderate,No,None,Yes,Erect,None,71551,High,50
Spring,,None,No,No,No,Red,Yes,Green,,,Medium,Blue,No,Single Stem,Moderate,5.9,No,No,Moderate,No,None,No,Erect,None,42478,Medium,
Spring,,None,No,No,No,Red,Yes,Green,Dense,Dense,Medium,Black,Yes,Multiple Stem,Rapid,16.0,No,Yes,Long,No,None,Yes,Climbing,None,42803,High,16
,,,,,,,,,,,,,,,,,,,,,,,,,42561,,
,,,,,,,,,,,,,,,,,,,,,,,,,86072,,
,,,,,,,,,,,,,,,,,,,,,,,,,80872,,
Summer and Fall,Slow,None,No,No,No,White,No,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Moderate,1.8,No,No,Long,No,None,No,Erect,None,45838,High,
,,,,,,,,,,,,,,,,,,,,,,,,,14155,,
Spring and Summer,Slow,None,No,No,No,White,Yes,Dark Green,Porous,Porous,Medium,Black,Yes,Stoloniferous,Moderate,4.0,No,No,Moderate,No,None,No,Erect,None,45866,Low,
Spring and Summer,,None,No,Yes,No,Yellow,Yes,Green,Dense,Porous,Coarse,Red,Yes,Single Stem,Rapid,100.0,No,No,Moderate,No,None,Yes,Irregular,None,71553,High,40
,,,,,,,,,,,,,,,,,,,,,,,,,90051,,
,,,,,,,,,,,,,,,,,,,,,,,,,28891,,
Spring,,None,Yes,No,No,White,Yes,Green,Porous,Porous,Coarse,Red,Yes,Single Stem,Moderate,30.0,No,No,Short,No,None,Yes,Erect,None,71577,High,30
Spring and Summer,,None,Yes,No,Yes,White,Yes,Dark Green,Moderate,Moderate,Medium,Black,Yes,Single Stem,Moderate,60.0,No,Yes,Moderate,No,None,Yes,Climbing,None,71581,High,40
,,,,,,,,,,,,,,,,,,,,,,,,,27143,,
Spring,Slow,None,No,No,No,White,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,2.6,No,No,Short,No,None,No,Erect,None,45887,,
Spring,Slow,None,No,No,No,Blue,Yes,Green,Moderate,Porous,Coarse,,No,Single Stem,Moderate,2.3,No,No,Moderate,No,None,No,Erect,None,45201,,
Spring,Slow,None,No,No,No,Blue,Yes,Green,Porous,Porous,Medium,Black,No,Single Stem,Rapid,2.3,No,No,Short,No,None,No,Erect,None,51235,,
,,,,,,,,,,,,,,,,,,,,,,,,,51509,,
Summer,,None,No,Yes,No,White,Yes,Green,,,Medium,Blue,Yes,Single Crown,Rapid,1.0,No,No,Moderate,No,None,No,Climbing,None,38109,Medium,
Spring and Summer,,None,No,No,No,White,No,Green,,Moderate,Coarse,Blue,Yes,Rhizomatous,Moderate,10.0,No,Yes,Long,No,None,No,Erect,None,70717,High,10
,,,,,,,,,,,,,,,,,,,,,,,,,45953,,
Spring,Slow,None,No,No,No,Red,Yes,Gray-Green,Moderate,Porous,Medium,Brown,No,Single Stem,Moderate,4.9,No,No,Moderate,No,None,No,Erect,None,45955,,
,,,,,,,,,,,,,,,,,,,,,,,,,45971,,
Spring and Summer,,None,No,No,No,Yellow,No,Green,Dense,Moderate,Coarse,Blue,Yes,Colonizing,Slow,7.0,No,No,Long,No,Medium,Yes,Semi-Erect,None,70735,High,9
,,,,,,,,,,,,,,,,,,,,,,,,,45974,,
Spring and Summer,,None,Yes,No,No,Green,No,Green,Moderate,Porous,Medium,Purple,Yes,Single Stem,Moderate,70.0,No,No,Moderate,No,None,Yes,Rounded,None,70892,High,45
Spring and Summer,Moderate,None,No,Yes,No,Red,No,Yellow-Green,Dense,Moderate,Fine,Purple,No,Bunch,Moderate,3.0,No,No,Short,Yes,None,No,Erect,None,23997,Medium,
"Spring, Summer, Fall",Slow,None,No,No,No,Green,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,Short,No,None,No,Semi-Erect,None,24042,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,71666,,
,,,,,,,,,,,,,,,,,,,,,,,,,71742,,
Spring and Summer,,None,Yes,Yes,No,Green,No,Green,Dense,Porous,Coarse,Blue,No,Single Stem,Moderate,95.0,No,No,Moderate,No,None,Yes,Erect,None,75248,High,30
"Spring, Summer, Fall",Slow,None,No,No,No,Yellow,Yes,Green,Dense,Porous,Coarse,Brown,No,Single Crown,Rapid,5.0,No,No,Short,No,None,No,Erect,None,86182,Medium,
Spring and Summer,Slow,None,No,No,No,,Yes,Green,Moderate,Porous,Medium,Brown,No,Multiple Stem,Moderate,3.3,No,No,Moderate,No,None,No,Erect,None,86339,,
,,,,,,,,,,,,,,,,,,,,,,,,,13778,,
,,,,,,,,,,,,,,,,,,,,,,,,,16384,,
,,,,,,,,,,,,,,,,,,,,,,,,,49863,,
Spring and Fall,Slow,None,No,No,No,Orange,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,4.9,No,No,Moderate,No,None,No,Erect,None,14160,,
"Spring, Summer, Fall",,None,No,Yes,No,Brown,No,Dark Green,Dense,Porous,Medium,Brown,No,Rhizomatous,Moderate,4.0,No,No,Long,No,None,No,Semi-Erect,None,14166,High,
"Spring, Summer, Fall",,None,No,Yes,No,,No,Dark Green,Dense,Porous,Fine,,No,Rhizomatous,Moderate,6.0,No,No,Long,No,None,No,Semi-Erect,None,14167,High,
Spring and Summer,,None,Yes,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Slow,45.0,No,No,Short,No,None,Yes,Erect,None,70102,High,20
Spring and Summer,,None,Yes,Yes,No,White,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Stem,Slow,35.0,No,No,Moderate,No,None,Yes,Columnar,None,65298,High,20
,,,,,,,,,,,,,,,,,,,,,,,,,24236,,
,,,,,,,,,,,,,,,,,,,,,,,,,38300,,
,,,,,,,,,,,,,,,,,,,,,,,,,57782,,
Spring,Slow,None,No,No,No,Yellow,Yes,Green,Porous,,Fine,Brown,No,Rhizomatous,Moderate,3.9,No,No,Short,No,None,No,Erect,None,38305,,
,,,,,,,,,,,,,,,,,,,,,,,,,57792,,
Summer and Fall,Slow,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Yellow,No,Bunch,Rapid,3.3,No,No,,No,None,No,Semi-Erect,None,24262,,
,,,,,,,,,,,,,,,,,,,,,,,,,69379,,
Spring,,None,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Brown,Yes,Single Stem,Rapid,16.0,No,No,Moderate,No,None,Yes,Climbing,None,69382,,
,,,,,,,,,,,,,,,,,,,,,,,,,38436,,
,,,,,,,,,,,,,,,,,,,,,,,,,75287,,
Spring and Summer,,None,No,Yes,No,,No,Green,,,Coarse,Blue,No,Stoloniferous,Rapid,1.0,No,No,Moderate,No,None,Yes,Prostrate,None,87444,High,
Summer,Slow,None,No,No,No,Green,No,Green,Dense,Dense,Medium,Brown,No,Bunch,Moderate,3.3,No,No,Long,No,None,No,Erect,None,24345,,
Summer,Slow,None,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Rhizomatous,Rapid,6.0,No,No,Long,No,None,No,Erect,None,24393,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,14559,,
,,,,,,,,,,,,,,,,,,,,,,,,,51852,,
Spring and Summer,Slow,None,No,No,No,Purple,Yes,Red,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,4.0,No,No,Moderate,No,None,No,Erect,None,51926,High,
,,,,,,,,,,,,,,,,,,,,,,,,,52048,,
,,,,,,,,,,,,,,,,,,,,,,,,,52088,,
,,,,,,,,,,,,,,,,,,,,,,,,,52182,,
Spring,Slow,None,No,No,No,Yellow,No,Green,Porous,Porous,Medium,,No,Stoloniferous,Slow,2.6,No,No,Moderate,No,None,No,Erect,None,87864,,
Spring,Slow,None,No,No,Yes,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,Bunch,Slow,2.3,No,No,Moderate,No,None,No,Erect,None,16390,,
"Spring, Summer, Fall",Moderate,None,No,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,6.0,No,No,Long,Yes,None,No,Erect,Slight,24659,Medium,
Spring,Moderate,None,No,No,No,White,No,Green,Dense,Moderate,Coarse,White,Yes,Rhizomatous,Rapid,13.0,No,No,Long,No,Low,No,Erect,None,24710,High,
,,,,,,,,,,,,,,,,,,,,,,,,,54581,,
,,,,,,,,,,,,,,,,,,,,,,,,,54583,,
Spring and Summer,Slow,None,No,No,No,Purple,Yes,Green,Moderate,Porous,Medium,Brown,No,Multiple Stem,Rapid,3.0,No,No,Long,No,None,No,Erect,None,54611,High,
Spring and Summer,Slow,None,No,No,No,Red,Yes,Green,Moderate,Porous,Medium,Brown,No,Single Crown,Moderate,3.0,No,No,Moderate,No,None,No,Erect,None,54638,High,
,,,,,,,,,,,,,,,,,,,,,,,,,88445,,
,,None,No,Yes,No,White,Yes,Red,Moderate,Moderate,Medium,Blue,No,Thicket Forming,,6.0,No,No,Short,No,None,No,Erect,Slight,88782,Medium,15
Spring and Summer,,None,No,Yes,No,Purple,No,Green,Dense,Moderate,Medium,Orange,Yes,Multiple Stem,Slow,10.0,No,No,Moderate,No,None,Yes,Erect,None,90185,High,10
,,,,,,,,,,,,,,,,,,,,,,,,,54725,,
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Moderate,Porous,Coarse,Red,Yes,Colonizing,Moderate,5.0,No,No,Moderate,No,None,No,Erect,None,88768,High,5
,,,,,,,,,,,,,,,,,,,,,,,,,54789,,
"Spring, Summer, Fall",Slow,None,No,Yes,Yes,Purple,Yes,Green,Dense,Porous,Fine,,No,Stoloniferous,Rapid,0.5,No,No,Moderate,No,None,No,Prostrate,None,54790,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,46245,,
Spring and Summer,,None,No,No,No,Yellow,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Rapid,100.0,No,Yes,Moderate,No,None,Yes,Conical,None,15448,High,60
,,,,,,,,,,,,,,,,,,,,,,,,,65308,,
Spring and Summer,,None,No,No,No,Yellow,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,,50.0,No,Yes,Long,No,None,No,Conical,None,15545,High,25
Spring and Summer,,None,No,No,Yes,Green,No,Yellow-Green,Moderate,Moderate,Medium,Brown,Yes,Single Stem,Rapid,80.0,No,Yes,Moderate,No,None,Yes,Erect,None,15556,High,20
Spring and Summer,,None,No,No,No,Red,No,Dark Green,Dense,Dense,Fine,Brown,Yes,Single Stem,Rapid,150.0,No,Yes,Moderate,No,None,No,Erect,None,15568,High,40
Spring and Summer,,None,No,No,Yes,,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Rapid,100.0,No,Yes,Moderate,No,None,No,Rounded,None,15576,High,50
Spring and Summer,,None,No,No,No,,No,Green,Dense,Dense,Coarse,Brown,No,Single Stem,Rapid,70.0,No,Yes,Moderate,No,None,No,Irregular,None,15586,High,25
Spring and Summer,,None,Yes,Yes,No,Red,No,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Rapid,100.0,No,No,Long,No,None,Yes,Erect,None,70568,High,65
,,,,,,,,,,,,,,,,,,,,,,,,,13787,,
Summer,,None,No,No,Yes,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,0.1,No,No,Moderate,No,None,No,Prostrate,None,61205,,
,,,,,,,,,,,,,,,,,,,,,,,,,29031,,
Spring,Slow,None,No,No,No,Blue,Yes,Green,Moderate,Porous,Coarse,,No,Bunch,Moderate,3.2,No,No,Moderate,No,None,No,Erect,None,29532,,
Spring and Summer,,None,Yes,No,No,Yellow,No,Green,Moderate,Porous,Medium,White,Yes,Single Stem,Rapid,90.0,No,No,Short,No,None,Yes,Erect,None,67422,High,80
Spring and Summer,,None,Yes,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Single Stem,Rapid,65.0,No,No,Short,No,None,Yes,Erect,None,67466,Medium,40
Summer,,None,No,No,No,Green,No,Dark Green,Porous,Porous,Fine,Green,No,Single Crown,Slow,,No,No,Moderate,No,None,No,Decumbent,None,61392,,
